Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea,LSOA21 Code,Lower layer super output area 2021,MSOA21 Code,Middle layer super output area 2021,Census output area 2021,IMD decile,Constituency Code 2024,Constituency Name 2024,Property Type,Roads
DD3 6AW,Yes,56.476027,-2.999367,338538.0,731993.0,NO385319,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,43.0,20.0,,Law - 06,Large urban area,Scotland,104.0,,S01007833,,S02001469,Law,,S00099455,1827,1,0,2024-12-20,Dundee,2.77525,DD,DD3,Scotland,Scottish Water,9C8VF2G2+C7,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059002844,9059004484,9059004964,9059005757,9059008517,9059012045,9059016905,9059018013,9059022861,9059029919,9059030767,9059034575,9059040418,9059041848,9059044003,9059045513,9059046943,9059057706,9059062223,9059063017,9059065612",2.64719,,,,,S00147850,3.0,S14000075,Dundee Central,,Harefield Avenue
DD3 6AX,Yes,56.474811,-2.998572,338585.0,731857.0,NO385318,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,6.0,4.0,,Law - 06,Large urban area,Scotland,104.0,,S01007833,,S02001469,Law,,S00099613,1827,1,0,2024-12-20,Dundee,2.63957,DD,DD3,Scotland,Scottish Water,9C8VF2F2+WH,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059039416,9059045075,9059055693,9059056155,9059092192",2.52365,,,,,S00147795,3.0,S14000075,Dundee Central,,Harefield Grove
DD3 6AY,Yes,56.472022,-2.995614,338763.0,731544.0,NO387315,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,6.0,4.0,,Law - 06,Large urban area,Scotland,107.0,,S01007833,,S02001469,Law,,S00099456,1827,1,0,2024-12-20,Dundee,2.28571,DD,DD3,Scotland,Scottish Water,9C8VF2C3+RQ,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059034767,9059034769,9059055976,9059055978",2.25469,,,,,S00148011,3.0,S14000075,Dundee Central,,Loon's Road
DD3 6AZ,Yes,56.471358,-2.996635,338699.0,731471.0,NO386314,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,5.0,4.0,,Law - 02,Large urban area,Scotland,107.0,,S01007829,,S02001469,Law,,S00098745,2033,1,0,2024-12-20,Dundee,2.27311,DD,DD3,Scotland,Scottish Water,9C8VF2C3+G8,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059024553,9059024555,9059065607,9059065610",2.16878,,,,,S00148143,3.0,S14000075,Dundee Central,,Loon's Road
DD3 6BA,Yes,56.471051,-2.996806,338688.0,731437.0,NO386314,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,4.0,4.0,,Law - 01,Large urban area,Scotland,107.0,,S01007828,,S02001469,Law,,S00098746,1211,1,0,2024-12-20,Dundee,2.25574,DD,DD3,Scotland,Scottish Water,9C8VF2C3+C7,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059009824,9059057137,9059057203,9059063846,9059063851,9059087297,9059092684,9059103225,10015293410",2.13288,,,,,S00148159,2.0,S14000075,Dundee Central,,"Balfield Road,Lawside Road,Loon's Road"
DD3 6BB,Yes,56.470899,-2.995742,338753.0,731419.0,NO387314,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,56.0,40.0,,Law - 02,Large urban area,Scotland,109.0,,S01007829,,S02001469,Law,,S00098745,2033,1,0,2024-12-20,Dundee,2.1984,DD,DD3,Scotland,Scottish Water,9C8VF2C3+9P,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059002006,9059002017,9059007599,9059007723,9059008374,9059008389,9059009730,9059009736,9059010702,9059010709,9059014431,9059014435,9059017847,9059017853,9059020102,9059020104,9059022360,9059022368,9059022683,9059022684,9059039008,9059039012,9059046094,9059046097,9059047499,9059047504,9059051894,9059051898,9059054047,9059054058,9059054453,9059054457,9059055529,9059055540,9059062848,9059062855,9059079169,9059079213,9059079962,9059080080,9059096764,9059097758,10025425222",2.12967,,,,,S00148143,3.0,S14000075,Dundee Central,,"Alpin Terrace,Glenesk Avenue"
DD3 6BD,Yes,56.47006,-2.996207,338723.0,731326.0,NO387313,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,20.0,16.0,,Law - 02,Large urban area,Scotland,106.0,,S01007829,,S02001469,Law,,S00098745,2033,1,0,2024-12-20,Dundee,2.15173,DD,DD3,Scotland,Scottish Water,9C8VF2C3+2G,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059007716,9059007717,9059037576,9059037579,9059041256,9059041261,9059047344,9059047345,9059060726,9059060735,9059066767,9059066768,9059074616,9059074627,9059083074,9059083078,9059090516,9059090517,9059090518,9059090519,9059090520,9059090521,9059090522,9059090523,9059090524,9059090525,9059090526,9059090527,9059090528,9059090529,9059090530,9059090531,9059090532,9059090533,9059090534,9059090535,9059090536,9059090537,9059090538,9059090539,9059090540,9059090541,9059090542,9059090543,9059090544,9059090545,9059090546,9059090547,9059090548,9059090549,9059090550,9059090551,9059090552,9059090553,9059090554,9059090555,9059090556,9059090557,9059090558,9059090559,9059090560,9059090561,9059090562,9059090563,9059090564,9059090565,9059090566,9059090567,9059090568,9059090569,9059090570,9059090571,9059090572,9059090573",2.03158,,,,,S00148143,3.0,S14000075,Dundee Central,,"Campbell Street,Lawside Road"
DD3 6BE,Yes,56.46993,-2.99674,338690.0,731312.0,NO386313,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,16.0,12.0,,Law - 01,Large urban area,Scotland,104.0,,S01007828,,S02001469,Law,,S00098746,1211,1,0,2024-12-20,Dundee,2.1652,DD,DD3,Scotland,Scottish Water,9C8VF293+X8,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059001452,9059001453,9059020949,9059020950,9059034388,9059034392,9059035487,9059035488,9059045069,9059045072,9059058905,9059058906",2.01054,,,,,S00148204,2.0,S14000075,Dundee Central,,Lawside Road
DD3 6BG,No,56.470896,-2.997252,338660.0,731420.0,NO386314,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1973-08-01,1994-12-01,,,,,,Law - 01,Large urban area,Scotland,105.0,,S01007828,,S02001469,Law,,S00098746,1211,8,1,2024-12-20,Dundee,2.26268,DD,DD3,Scotland,Scottish Water,9C8VF2C3+93,,,Dundee,Eastern Scotland,Angus and Dundee City,,2.11019,,,,,S00148159,2.0,S14000075,Dundee Central,,
DD3 6BH,Yes,56.468808,-2.995428,338769.0,731186.0,NO387311,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,47.0,32.0,,Law - 02,Large urban area,Scotland,105.0,,S01007829,,S02001469,Law,,S00098738,2033,1,0,2024-12-20,Dundee,2.0212,DD,DD3,Scotland,Scottish Water,9C8VF293+GR,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059001443,9059001444,9059001471,9059001472,9059001473,9059001704,9059001705,9059001717,9059001718,9059001719,9059019659,9059019663,9059038222,9059038223,9059038249,9059038250,9059038252,9059040429,9059040440,9059040556,9059040567,9059040578,9059043839,9059043840,9059043856,9059043857,9059043858,9059044676,9059044678,9059044685,9059044686,9059044687,9059048217,9059048222,9059067537,9059067538,9059083871,9059083872",1.90388,,,,,S00148261,3.0,S14000075,Dundee Central,,Lawside Road
