Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea,LSOA21 Code,Lower layer super output area 2021,MSOA21 Code,Middle layer super output area 2021,Census output area 2021,IMD decile,Constituency Code 2024,Constituency Name 2024,Property Type,Roads,Affluence Score
DD1 3DP,Yes,56.460401,-2.966728,340524.0,730225.0,NO405302,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,35.0,16.0,,City Centre - 06,Large urban area,Scotland,10.0,,S01007706,,S02001448,City Centre,,S00098452,4424,1,0,2024-12-20,Dundee,0.514314,DD,DD1,Scotland,Scottish Water,9C8VF26M+58,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059005185,9059030335,9059030383,9059030454,9059030460,9059037340,9059037434,9059037435,9059037436,9059037437,9059037451,9059058164,9059058165,9059058166,9059058167,9059058169,9059058170,9059058171,9059058172,9059058173,9059058174,9059058175,9059058176,9059058177,9059058178,9059058180,9059076646,9059082196,9059082198,9059082199,9059082200,9059093473,9059098155,9059103999,9059106128,9059107166,9059107167,10091905999",0.682055,,,,,S00148534,7.0,S14000075,Dundee Central,,"Castle Street,Dock Street,South Castle Street,Thomson Avenue",0.35926839889679196
DD1 3DR,Yes,56.46072,-2.966136,340561.0,730260.0,NO405302,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,28.0,17.0,,City Centre - 06,Large urban area,Scotland,10.0,,S01007706,,S02001448,City Centre,,S00098453,4424,1,0,2024-12-20,Dundee,0.563822,DD,DD1,Scotland,Scottish Water,9C8VF26M+7G,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059029614,9059029630,9059035052,9059035091,9059035092,9059035093,9059035094,9059035095,9059035096,9059035097,9059035098,9059035099,9059035100,9059035102,9059035103,9059035104,9059035192,9059082534,9059085849,9059091202,9059091580,9059091581,9059092023,9059094224,9059095071,9059098156,9059099376,9059100985,9059100986,9059100987,9059100988,9059100989,9059100990,9059101634,9059101635,9059101636,9059101637,9059101664,9059104001,9059104003,9059104097,10015473932",0.706649,,,,,S00148525,7.0,S14000075,Dundee Central,,"A92,A929,Commercial Street,Dock Street,Gellatly Street,South Commercial Street",0.35926839889679196
DD1 3DU,Yes,56.46164,-2.964536,340661.0,730361.0,NO406303,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,13.0,5.0,,Docks and Wellgate - 04,Large urban area,Scotland,8.0,,S01007710,,S02001449,Docks and Wellgate,,S00099552,2116,1,0,2024-12-20,Dundee,0.703752,DD,DD1,Scotland,Scottish Water,9C8VF26P+M5,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059007009,9059016183,9059016264,9059016265,9059016266,9059016267,9059016268,9059024336,9059032082,9059068063,9059081511,9059082206,9059085736,9059085737,9059094740,9059094741,9059094742,9059094743,9059094905,9059096725,9059096726,9059097434,9059098497,9059100179,9059101909,9059101910,9059101911,9059101912,9059101913,9059101914,9059101915,9059101916,9059101917,9059101918,9059101919,9059101920,9059101921,9059101922,9059101923,9059102362,9059104785",0.779414,,,,,S00148511,4.0,S14000075,Dundee Central,,"Calcutta Lane,Camperdown Street,Candle Lane,Dock Street,West Victoria Dock Road",0.6942952533023661
DD1 3DZ,Yes,56.461996,-2.967272,340493.0,730403.0,NO404304,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,26.0,15.0,,Docks and Wellgate - 04,Large urban area,Scotland,12.0,,S01007710,,S02001449,Docks and Wellgate,,S00099552,2116,1,0,2024-12-20,Dundee,0.657852,DD,DD1,Scotland,Scottish Water,9C8VF26M+Q3,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059015217,9059015218,9059015630,9059025496,9059051925,9059051926,9059051927,9059051929,9059051931,9059051932,9059059994,9059085054,9059085848,9059088178,9059088179,9059088180,9059088181,9059092022,9059101083,9059101084,9059101213,9059101823,9059101824,9059101825,9059101826,9059101828,9059101829,9059101830,9059101831,9059102339,9059102340,9059102341,9059102342,9059102798,9059104762,9059104763",0.864976,,,,,S00148511,4.0,S14000075,Dundee Central,,Gellatly Street,0.6942952533023661
DD1 3EJ,Yes,56.461044,-2.967248,340493.0,730297.0,NO404302,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,7.0,3.0,,City Centre - 06,Large urban area,Scotland,13.0,,S01007706,,S02001448,City Centre,,S00098453,4424,1,0,2024-12-20,Dundee,0.561433,DD,DD1,Scotland,Scottish Water,9C8VF26M+C4,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059021872,9059027207,9059027208,9059027209,9059028594,9059042718,9059048288,9059067983,9059067984,9059068047,9059068048,9059068049,9059068050,9059068051,9059070540,9059070542,9059080943,9059080944,9059080945,9059080952,9059080954,9059080955,9059080956,9059081841,9059081842,9059090732,9059094246,9059094247,9059094248,9059098752,9059099848,9059100566,9059103648,9059104614,9059104615,9059104616,9059104885,9059104886,9059105194,9059106754,9059106755,9059106756,9059106757,9059106758,9059106759,9059106760,9059106761,9059106762,9059106763,9059106764,9059106852,9059106853,9059107402,9059107403,9059107404,9059107405,9059107406,9059107407,9059107962,9059111380,9059111381,9059111382,9059111383,9059111384,9059111385,9059111386,9059111387,9059113095,9059113096,10091770564",0.760942,,,,,S00148525,7.0,S14000075,Dundee Central,,Commercial Street,0.35926839889679196
DD1 3EN,Yes,56.462317,-2.966371,340549.0,730438.0,NO405304,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,157.0,73.0,,Docks and Wellgate - 04,Large urban area,Scotland,9.0,,S01007710,,S02001449,Docks and Wellgate,,S00099551,2116,1,0,2024-12-20,Dundee,0.71237,DD,DD1,Scotland,Scottish Water,9C8VF26M+WF,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059002036,9059002037,9059002038,9059002040,9059002041,9059002042,9059002043,9059002044,9059002045,9059002046,9059004495,9059004496,9059004498,9059004499,9059004500,9059004501,9059004502,9059004503,9059004504,9059004505,9059004506,9059004507,9059004509,9059004510,9059004511,9059004512,9059004513,9059004514,9059018969,9059018970,9059018976,9059018979,9059018984,9059018987,9059018990,9059018993,9059018996,9059018997,9059018998,9059018999,9059019000,9059019001,9059019004,9059019007,9059019010,9059019011,9059019012,9059019013,9059019014,9059019016,9059019017,9059023681,9059023682,9059023683,9059023686,9059023687,9059023688,9059023689,9059023690,9059023691,9059023692,9059023693,9059023694,9059023695,9059023697,9059023698,9059023699,9059023700,9059023701,9059023702,9059023703,9059034318,9059037870,9059037871,9059037872,9059037873,9059037874,9059037875,9059037876,9059037877,9059037878,9059037879,9059037880,9059078316,9059081510,9059090586,9059098177",0.884501,,,,,S00148497,4.0,S14000075,Dundee Central,,"Allan Lane,Candle Lane",0.6942952533023661
DD1 3ET,Yes,56.462579,-2.965112,340627.0,730466.0,NO406304,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,48.0,25.0,,Docks and Wellgate - 04,Large urban area,Scotland,8.0,,S01007710,,S02001449,Docks and Wellgate,,S00099550,2116,1,0,2024-12-20,Dundee,0.77323,DD,DD1,Scotland,Scottish Water,9C8VF27M+2X,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059064144,9059067632,9059076129,9059080003,9059093865,9059099809,9059099810,9059099811,9059099812,9059099813,9059099814,9059099815,9059099816,9059099817,9059099818,9059099819,9059099820,9059099821,9059099822,9059099823,9059099824,9059099825,9059099826,9059099827,9059099828,9059099829,9059099830,9059099831,9059099832,9059099833,9059099834,9059099835,9059099836,9059099837,9059099838,9059099839,9059099840,9059099841,9059099842,9059099843,9059099844,9059103249,9059106586,9059106674,9059107889,9059107890,9059107891,9059107892,9059107893,9059107894,9059107895,9059107896,9059107897,9059107898,9059107899,9059107900,9059107901,9059107902,9059107903,9059107904,9059107905,9059107906,9059107907,9059107908,9059107909,9059107910,9059107911,9059107912,9059107913,9059107914,9059107915,9059107916",0.891478,,,,,S00148394,4.0,S14000075,Dundee Central,,"Seagate,Trades Lane",0.6942952533023661
DD1 3EU,Yes,56.462307,-2.965349,340612.0,730436.0,NO406304,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,2002-11-01,,,,34.0,21.0,,Docks and Wellgate - 04,Large urban area,Scotland,8.0,,S01007710,,S02001449,Docks and Wellgate,,S00099550,2116,1,0,2024-12-20,Dundee,0.739741,DD,DD1,Scotland,Scottish Water,9C8VF26M+WV,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059030680,9059030681,9059030682,9059060073,9059060074,9059060075,9059060077,9059060078,9059060079,9059060080,9059060081,9059060082,9059060083,9059060084,9059060085,9059060086,9059060088,9059060089,9059060090,9059060091,9059060092,9059060093,10025423672",0.865926,,,,,S00148487,4.0,S14000075,Dundee Central,,Allan Lane,0.6942952533023661
DD1 3EW,Yes,56.462563,-2.965907,340578.0,730465.0,NO405304,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,63.0,40.0,,Docks and Wellgate - 04,Large urban area,Scotland,9.0,,S01007710,,S02001449,Docks and Wellgate,,S00099550,2116,1,0,2024-12-20,Dundee,0.749229,DD,DD1,Scotland,Scottish Water,9C8VF27M+2J,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059016363,9059016364,9059016365,9059016367,9059016368,9059016369,9059016370,9059016371,9059016372,9059016373,9059024533,9059044256,9059044257,9059044259,9059044260,9059044261,9059044262,9059044263,9059044264,9059044265,9059044266,9059044267,9059044268,9059044270,9059044271,9059044272,9059044274,9059044275,9059044276,9059044277,9059044278,9059044279,9059044281,9059044282,9059044283,9059044284,9059044285,9059044286,9059044287,9059044288,9059045790,9059058994,9059059002,9059059012,9059076130,9059076131,9059076132,9059076134,9059076135,9059080002,9059093866,9059103506,9059107096",0.903339,,,,,S00148487,4.0,S14000075,Dundee Central,,Trades Lane,0.6942952533023661
DD1 4AA,Yes,56.459267,-2.970322,340301.0,730102.0,NO403301,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,29.0,8.0,,City Centre - 06,Large urban area,Scotland,16.0,,S01007706,,S02001448,City Centre,,S00098463,4424,1,0,2024-12-20,Dundee,0.313408,DD,DD1,Scotland,Scottish Water,9C8VF25H+PV,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059033500,9059033579,9059075666,9059075669,9059075699,9059079919,9059079922,9059079923,9059079924,9059080690,9059080692,9059080693,9059080694,9059080695,9059080696,9059080975,9059080976,9059080978,9059087918,9059087919,9059088045,9059095135,9059095136,9059095137,9059095138,9059095139,9059095140,9059095141,9059095142,9059095286,9059099288,9059099289,9059100308,9059107968,10025279468",0.620113,,,,,S00148565,7.0,S14000075,Dundee Central,,"Nethergate,South Marketgait,Whitehall Street",0.35926839889679196
