,prop,name,url,east,north,uarn,descrip,nav,rv,effdate,category,postcode,lattitude,longitude
6328,MS NICOLA MCWILLIAM T/A WILLOW GEMS LTD,"98 GRAY STREET, BROUGHTY FERRY, DUNDEE, DD5 2DN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=053570&PPRN=053570&ASSESSOR_IDX=14#results,346318,730897,53570,SHOP,"&pound;11,700","&pound;11,700",01/04/2023,Shops,DD5 2DN,56.46712451,-2.87286306
6329,FRANK B SHEWAN,"99-101 GRAY STREET, BROUGHTY FERRY, DUNDEE, DD5 2DN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=053525&PPRN=053525&ASSESSOR_IDX=14#results,346293,730900,53525,SHOP,"&pound;17,300","&pound;17,300",01/04/2023,Shops,DD5 2DN,56.46714861,-2.87326939
6330,MCNICOLL & CAIRNIE LTD,"100 GRAY STREET, BROUGHTY FERRY, DUNDEE, DD5 2DN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=053571&PPRN=053571&ASSESSOR_IDX=14#results,346319,730902,53571,SHOP,"&pound;13,600","&pound;13,600",01/04/2023,Shops,DD5 2DN,56.46716954,-2.87284786
6331,MS CHERYLE SEXTON,"103 GRAY STREET, BROUGHTY FERRY, DUNDEE, DD5 2DN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=053526&PPRN=053526&ASSESSOR_IDX=14#results,346295,730907,53526,SHOP,"&pound;8,300","&pound;8,300",01/04/2023,Shops,DD5 2DN,56.46721172,-2.87323838
6332,HILLCREST FUTURES,"104 GRAY STREET, BROUGHTY FERRY, DUNDEE, DD5 2DN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=053575&PPRN=053575&ASSESSOR_IDX=14#results,346321,730909,53575,SHOP,"&pound;13,100","&pound;13,100",01/04/2023,Shops,DD5 2DN,56.46723264,-2.87281687
6333,CASA BY SIVLE LTD,"105 GRAY STREET, BROUGHTY FERRY, DUNDEE, DD5 2DN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=741665&PPRN=741665&ASSESSOR_IDX=14#results,346297,730911,741665,SHOP,"&pound;11,100","&pound;11,100",01/04/2023,Shops,DD5 2DN,56.46724788,-2.87320674
6334,GADGET HERO BF LIMITED,"106 GRAY STREET, BROUGHTY FERRY, DUNDEE, DD5 2DN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=053576&PPRN=053576&ASSESSOR_IDX=14#results,346322,730914,53576,SHOP,"&pound;9,000","&pound;9,000",01/04/2023,Shops,DD5 2DN,56.46727767,-2.87280167
6335,MCBURNEY CLELLAND & BOYD LTD,"107 GRAY STREET, BROUGHTY FERRY, DUNDEE, DD5 2DN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=804547&PPRN=804547&ASSESSOR_IDX=14#results,346296,730917,804547,SHOP,"&pound;19,600","&pound;19,600",01/04/2023,Shops,DD5 2DN,56.46730166,-2.87322421
6336,MISS GRACE BERRY,"109 GRAY STREET, BROUGHTY FERRY, DUNDEE, DD5 2DN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=053527&PPRN=053527&ASSESSOR_IDX=14#results,346299,730920,53527,SHOP,"&pound;8,500","&pound;8,500",01/04/2023,Shops,DD5 2DN,56.46732895,-2.87317614
6337,MS CATHERINE PIGGOT,"110 GRAY STREET, BROUGHTY FERRY, DUNDEE, DD5 2DN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=053580&PPRN=053580&ASSESSOR_IDX=14#results,346324,730920,53580,SHOP,"&pound;7,200","&pound;7,200",01/04/2023,Shops,DD5 2DN,56.4673318,-2.87277045
6338,MARKS & SPENCER PLC,"114 BROOK STREET, BROUGHTY FERRY, DUNDEE, DD5 1DQ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=711528&PPRN=711528&ASSESSOR_IDX=14#results,346002,730930,711528,SUPERMARKET,"&pound;227,000","&pound;227,000",01/04/2023,Shops,DD5 1DQ,56.46738482,-2.87799792
6339,GREENE KING BREWING & RETAILING LIMITED,"THE BELL TREE, 115 LAWERS DRIVE, BROUGHTY FERRY, DUNDEE, DD5 3UP",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=787557&PPRN=787557&ASSESSOR_IDX=14#results,347575,732785,787557,RESTAURANT & PUBLIC HOUSE,"&pound;55,000","&pound;55,000",01/04/2023,Shops,DD5 3UP,56.48422581,-2.85284505
6340,MS GEMMA LEONARD & MS LOUISE CHISHOLM,"120-122 KING STREET, BROUGHTY FERRY, DUNDEE, DD5 1EW",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=051211&PPRN=051211&ASSESSOR_IDX=14#results,346002,730788,51211,SHOP,"&pound;6,600","&pound;6,600",01/04/2023,Shops,DD5 1EW,56.46610926,-2.87796846
6341,MCPHERSON PHARMACY LTD,"120-122 GRAY STREET, BROUGHTY FERRY, DUNDEE, DD5 2DG",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=053581&PPRN=053581&ASSESSOR_IDX=14#results,346330,730942,53581,SHOP,"&pound;24,400","&pound;24,400",01/04/2023,Shops,DD5 2DG,56.46753011,-2.87267761
6342,TAYVIEW PROPERTIES LTD T/A COLLINSONS RESTAURANT,"122-124 BROWN STREET, BROUGHTY FERRY, DUNDEE, DD5 1EN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=309194&PPRN=309194&ASSESSOR_IDX=14#results,346056,730876,309194,LICENSED RESTAURANT,"&pound;19,700","&pound;19,700",01/04/2023,Shops,DD5 1EN,56.46690594,-2.87711041
6343,COLSTON TRUSTEES LIMITED,"124 KING STREET, BROUGHTY FERRY, DUNDEE, DD5 1EW",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=051210&PPRN=051210&ASSESSOR_IDX=14#results,346009,730785,51210,SHOP,"&pound;3,550","&pound;3,550",01/04/2023,Shops,DD5 1EW,56.46608311,-2.87785425
6344,MOHAMMED RAFI,"128-130 GRAY STREET, BROUGHTY FERRY, DUNDEE, DD5 2DG",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD5&ASSESSOR_ID=tayside&CLASS=0001&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=053596&PPRN=053596&ASSESSOR_IDX=14#results,346336,730963,53596,SHOP,"&pound;14,300","&pound;14,300",01/04/2023,Shops,DD5 2DG,56.46771943,-2.87258457
